step	sqrt(chi)	param0001	param0002	param0003	param0004	param0005	param0006	param0007	param0008	param0009	param0010	param0011	param0012	param0013	param0014	param0015	param0016	param0017	param0018	param0019	param0020	param0021	param0022	param0023	param0024	param0025	param0026	param0027	param0028	param0029	param0030	param0031	param0032	param0033	param0034	param0035	param0036	param0037	param0038	param0039	param0040	param0041	param0042
00001	   38.8617    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	   0.00000    	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	   0.00000    	  0.126955E-01	  0.436567E-01	   7.80000    	  0.207172E-01	  0.190414E-01	   7.50000    	   0.00000    	   0.00000    	  0.363182E-02	  0.272247E-01	   0.00000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00002	   1287.45    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	  0.400000    	   0.00000    	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	   0.00000    	  0.126955E-01	  0.436567E-01	   7.80000    	  0.207172E-01	  0.190414E-01	   7.50000    	   0.00000    	   0.00000    	  0.363182E-02	  0.272247E-01	   0.00000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00003	   897.603    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	   0.00000    	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	  0.400000    	   0.00000    	  0.126955E-01	  0.436567E-01	   7.80000    	  0.207172E-01	  0.190414E-01	   7.50000    	   0.00000    	   0.00000    	  0.363182E-02	  0.272247E-01	   0.00000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00004	   3640.98    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	   0.00000    	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	   0.00000    	  0.126955E-01	  0.436567E-01	   13.8000    	  0.207172E-01	  0.190414E-01	   7.50000    	   0.00000    	   0.00000    	  0.363182E-02	  0.272247E-01	   0.00000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00005	   326.844    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	   0.00000    	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	   0.00000    	  0.126955E-01	  0.436567E-01	   7.80000    	  0.207172E-01	  0.190414E-01	   13.5000    	   0.00000    	   0.00000    	  0.363182E-02	  0.272247E-01	   0.00000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00006	   1030.39    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	   0.00000    	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	   0.00000    	  0.126955E-01	  0.436567E-01	   7.80000    	  0.207172E-01	  0.190414E-01	   7.50000    	  0.400000    	   0.00000    	  0.363182E-02	  0.272247E-01	   0.00000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00007	   334.419    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	   0.00000    	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	   0.00000    	  0.126955E-01	  0.436567E-01	   7.80000    	  0.207172E-01	  0.190414E-01	   7.50000    	   0.00000    	   0.00000    	  0.363182E-02	  0.272247E-01	   6.00000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00008	   38.8617    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	   0.00000    	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	   0.00000    	  0.126955E-01	  0.436567E-01	   7.80000    	  0.207172E-01	  0.190414E-01	   7.50000    	   0.00000    	   0.00000    	  0.363182E-02	  0.272247E-01	   0.00000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00009	   1287.45    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	  0.400000    	   0.00000    	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	   0.00000    	  0.126955E-01	  0.436567E-01	   7.80000    	  0.207172E-01	  0.190414E-01	   7.50000    	   0.00000    	   0.00000    	  0.363182E-02	  0.272247E-01	   0.00000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00010	   897.603    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	   0.00000    	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	  0.400000    	   0.00000    	  0.126955E-01	  0.436567E-01	   7.80000    	  0.207172E-01	  0.190414E-01	   7.50000    	   0.00000    	   0.00000    	  0.363182E-02	  0.272247E-01	   0.00000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
